timestamp, cpu_temp, cpu_util, cpu_freq, amb_temp, amb_humid, heatsink, cover, starttime
2018-03-29T01:17:01,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:04,47.8,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:06,48.3,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:09,47.8,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:17:12,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:14,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:17:17,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:19,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:22,48.3,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:17:24,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:17:27,48.3,0.25,600000000,22,49,False,False,2018-03-29T00:37:42
2018-03-29T01:17:29,47.8,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:32,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:17:34,48.3,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:17:37,48.3,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:17:39,47.8,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:17:42,47.8,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:44,47.8,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:17:47,48.3,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:50,48.3,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:52,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:17:55,48.3,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:17:57,48.3,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:00,47.8,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:02,48.3,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:04,48.3,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:07,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:10,48.3,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:12,48.3,0,600000000,22,49,False,False,2018-03-29T00:37:42
2018-03-29T01:18:15,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:17,47.8,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:20,47.8,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:22,48.3,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:25,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:27,48.3,0,600000000,22,49,False,False,2018-03-29T00:37:42
2018-03-29T01:18:30,47.8,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:32,47.8,1.26,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:35,48.3,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:37,48.3,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:40,48.3,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:42,48.3,0,600000000,22,49,False,False,2018-03-29T00:37:42
2018-03-29T01:18:45,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:47,48.3,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:50,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:52,48.3,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:18:55,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:57,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:18:59,48.3,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:02,48.3,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:19:04,47.8,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:07,47.8,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:09,47.8,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:19:12,47.8,0,600000000,22,50,False,False,2018-03-29T00:37:42
